predictor,Estimate,t value,hour,Chisq,p_value
season,-1.25,-6.84,0,46.7,0
temp.a,0.5700000000000001,24.51,0,600.9,0
season,-1.6300000000000001,-5.95,1,35.5,0
temp.a,0.67,18.23,1,332.40000000000003,0
season,-1.47,-6.86,2,47.1,0
temp.a,0.66,24.16,2,583.6,0
season,-0.79,-3.31,3,10.9,0.001
temp.a,0.63,22.07,3,486.90000000000003,0
season,-0.89,-2.75,4,7.6000000000000005,0.006
temp.a,0.78,19.27,4,371.40000000000003,0
season,-0.8300000000000001,-3.5500000000000003,5,12.600000000000001,0
temp.a,0.79,26.79,5,717.9000000000001,0
season,-0.02,-0.08,6,0,0.9390000000000001
temp.a,0.79,28.7,6,823.5,0
season,-0.49,-1.52,7,2.3000000000000003,0.127
temp.a,0.84,22.2,7,492.8,0
season,-0.74,-2.99,8,8.9,0.003
temp.a,0.85,32.36,8,1047.2,0
season,-1.92,-7.5200000000000005,9,56.5,0
temp.a,0.8200000000000001,30.37,9,922,0
season,-2.41,-7.8100000000000005,10,61,0
temp.a,0.87,23.8,10,566.5,0
season,-3.42,-14.34,11,205.70000000000002,0
temp.a,0.76,26.1,11,681.3000000000001,0
season,-1.71,-7.28,12,53,0
temp.a,0.59,20.46,12,418.8,0
season,-0.44,-1.4000000000000001,13,1.9000000000000001,0.163
temp.a,0.48,12.55,13,157.60000000000002,0
season,-0.29,-1.23,14,1.5,0.217
temp.a,0.48,17.2,14,295.7,0
season,-0.4,-1.59,15,2.5,0.111
temp.a,0.47000000000000003,17.41,15,303.3,0
season,0.48,1.42,16,2,0.156
temp.a,0.43,11.14,16,124.10000000000001,0
season,0.76,3.12,17,9.700000000000001,0.002
temp.a,0.46,16.56,17,274.2,0
season,0.25,1.04,18,1.1,0.298
temp.a,0.45,19.11,18,365.40000000000003,0
season,-0.48,-2.05,19,4.2,0.041
temp.a,0.51,18.89,19,356.70000000000005,0
season,-0.04,-0.27,20,0.1,0.785
temp.a,0.47000000000000003,23.91,20,571.7,0
season,-1.02,-6.49,21,42.2,0
temp.a,0.47000000000000003,26.43,21,698.7,0
season,-1.57,-7.07,22,50,0
temp.a,0.52,18.16,22,329.90000000000003,0
season,-1.28,-7.71,23,59.5,0
temp.a,0.54,23.39,23,546.9,0
